densidad_escuelas,densidad_hospitales,densidad_gimnasios,densidad_papelerias,densidad_farmacias,densidad_comercios,target,oportunidad_negocio
8,303,2,2,23,238,5,tienda_deportiva
1,1,0,0,0,32,3,papeleria
13,107,2,3,12,103,5,tienda_deportiva
1,18,3,3,6,69,5,tienda_deportiva
3,0,0,0,0,32,3,papeleria
4,16,2,5,2,83,5,tienda_deportiva
5,8,0,7,4,73,0,cafeteria
27,181,8,12,20,367,5,tienda_deportiva
6,3,0,2,2,39,0,cafeteria
11,37,3,4,5,32,5,tienda_deportiva
17,26,4,1,4,38,5,tienda_deportiva
0,5,0,0,2,52,0,cafeteria
20,68,5,4,12,184,5,tienda_deportiva
9,48,9,3,9,88,5,tienda_deportiva
2,3,0,1,1,41,0,cafeteria
6,36,5,3,8,76,5,tienda_deportiva
10,19,6,4,5,135,5,tienda_deportiva
2,15,1,1,2,71,5,tienda_deportiva
5,182,6,8,24,195,5,tienda_deportiva
9,423,1,0,21,27,3,papeleria
0,0,0,0,0,20,0,cafeteria
11,218,8,0,8,46,3,papeleria
24,214,6,44,123,732,5,tienda_deportiva
0,58,1,1,23,50,5,tienda_deportiva
3,1,3,2,1,22,5,tienda_deportiva
2,10,1,2,2,64,5,tienda_deportiva
7,4,1,1,3,58,5,tienda_deportiva
4,9,4,1,4,87,5,tienda_deportiva
9,4,0,8,5,84,0,cafeteria
4,18,3,3,5,100,5,tienda_deportiva
10,13,7,2,2,59,5,tienda_deportiva
4,5,3,4,7,60,5,tienda_deportiva
8,524,7,4,19,59,5,tienda_deportiva
3,2,1,3,2,40,5,tienda_deportiva
0,0,0,0,0,12,0,cafeteria
28,364,9,35,71,719,5,tienda_deportiva
7,19,1,4,13,87,5,tienda_deportiva
6,10,1,5,4,77,5,tienda_deportiva
15,104,4,2,6,82,5,tienda_deportiva
1,11,0,2,3,54,0,cafeteria
10,6,1,4,5,47,5,tienda_deportiva
4,1,0,0,0,14,3,papeleria
5,2,0,5,2,55,0,cafeteria
9,4,0,0,0,14,3,papeleria
3,1,0,3,0,40,1,farmacia
5,7,1,2,4,58,5,tienda_deportiva
6,6,6,2,2,37,5,tienda_deportiva
1,1,2,3,2,30,5,tienda_deportiva
14,10,3,0,2,41,3,papeleria
15,23,3,1,6,49,5,tienda_deportiva
5,5,1,4,3,63,5,tienda_deportiva
2,0,0,2,2,24,0,cafeteria
22,283,9,53,137,1141,5,tienda_deportiva
5,6,1,3,2,81,5,tienda_deportiva
1,4,1,3,1,17,5,tienda_deportiva
3,2,1,1,0,45,1,farmacia
6,2,0,3,1,10,0,cafeteria
21,84,4,4,8,70,5,tienda_deportiva
12,15,1,1,2,42,5,tienda_deportiva
1,1,1,0,0,3,3,papeleria
3,1,0,2,0,29,1,farmacia
8,7,0,1,0,32,1,farmacia
4,14,0,4,6,51,0,cafeteria
6,246,3,5,29,239,5,tienda_deportiva
2,6,1,2,2,46,5,tienda_deportiva
5,4,1,3,1,59,5,tienda_deportiva
4,6,0,3,2,48,0,cafeteria
11,10,6,7,7,87,5,tienda_deportiva
4,0,0,2,1,21,0,cafeteria
4,140,1,1,7,40,5,tienda_deportiva
8,7,0,14,4,93,0,cafeteria
7,11,0,1,2,60,0,cafeteria
8,2,1,2,5,48,5,tienda_deportiva
0,2,0,0,0,3,1,farmacia
6,41,3,3,3,81,5,tienda_deportiva
5,8,1,3,1,49,5,tienda_deportiva
5,333,3,3,30,190,5,tienda_deportiva
4,4,0,1,0,27,1,farmacia
3,2,2,1,1,12,5,tienda_deportiva
3,5,0,1,1,14,0,cafeteria
24,136,7,2,8,110,5,tienda_deportiva
21,74,7,4,12,192,5,tienda_deportiva
8,11,2,1,1,74,5,tienda_deportiva
2,1,0,0,0,14,3,papeleria
1,2,0,0,0,34,3,papeleria
19,223,7,48,124,1041,5,tienda_deportiva
1,0,0,1,0,15,0,cafeteria
1,0,0,0,0,30,3,papeleria
2,3,2,0,0,32,3,papeleria
4,13,0,1,4,49,0,cafeteria
6,16,2,0,7,117,3,papeleria
2,3,1,2,2,73,5,tienda_deportiva
0,10,2,2,5,56,5,tienda_deportiva
13,41,4,4,3,137,5,tienda_deportiva
2,6,4,1,2,81,5,tienda_deportiva
1,0,1,1,0,15,5,tienda_deportiva
10,2,0,1,0,39,1,farmacia
5,0,1,1,0,12,5,tienda_deportiva
14,12,0,5,5,81,0,cafeteria
5,393,0,1,17,14,0,cafeteria
3,8,1,1,0,50,1,farmacia
3,2,0,0,0,23,3,papeleria
6,10,1,1,0,24,1,farmacia
2,17,4,3,7,144,5,tienda_deportiva
11,7,1,2,3,61,5,tienda_deportiva
17,40,1,4,22,228,5,tienda_deportiva
7,18,2,0,6,36,3,papeleria
0,0,0,0,0,1,2,otro
7,6,1,3,1,32,5,tienda_deportiva
6,5,0,0,2,11,3,papeleria
7,21,1,4,4,91,5,tienda_deportiva
7,15,1,2,1,60,5,tienda_deportiva
9,17,0,3,2,178,0,cafeteria
2,3,0,1,0,16,1,farmacia
2,3,2,5,7,60,5,tienda_deportiva
10,24,3,2,9,156,5,tienda_deportiva
16,70,7,6,9,147,5,tienda_deportiva
11,16,6,1,2,72,5,tienda_deportiva
1,0,0,0,0,0,3,papeleria
4,20,1,2,6,42,5,tienda_deportiva
8,185,2,0,17,101,3,papeleria
4,3,0,2,3,22,0,cafeteria
8,5,0,1,1,31,0,cafeteria
15,62,6,11,29,540,5,tienda_deportiva
3,15,5,0,10,82,3,papeleria
9,2,0,3,0,38,1,farmacia
7,13,3,6,5,54,5,tienda_deportiva
