densidad_escuelas,densidad_hospitales,densidad_gimnasios,densidad_papelerias,densidad_farmacias,densidad_comercios,target
8,303,2,2,23,238,5
1,1,0,0,0,32,3
13,107,2,3,12,103,5
1,18,3,3,6,69,5
3,0,0,0,0,32,3
4,16,2,5,2,83,5
5,8,0,7,4,73,0
27,181,8,12,20,367,5
6,3,0,2,2,39,0
11,37,3,4,5,32,5
17,26,4,1,4,38,5
0,5,0,0,2,52,0
20,68,5,4,12,184,5
9,48,9,3,9,88,5
2,3,0,1,1,41,0
6,36,5,3,8,76,5
10,19,6,4,5,135,5
2,15,1,1,2,71,5
5,182,6,8,24,195,5
9,423,1,0,21,27,3
0,0,0,0,0,20,0
11,218,8,0,8,46,3
24,214,6,44,123,732,5
0,58,1,1,23,50,5
3,1,3,2,1,22,5
2,10,1,2,2,64,5
7,4,1,1,3,58,5
4,9,4,1,4,87,5
9,4,0,8,5,84,0
4,18,3,3,5,100,5
10,13,7,2,2,59,5
4,5,3,4,7,60,5
8,524,7,4,19,59,5
3,2,1,3,2,40,5
0,0,0,0,0,12,0
28,364,9,35,71,719,5
7,19,1,4,13,87,5
6,10,1,5,4,77,5
15,104,4,2,6,82,5
1,11,0,2,3,54,0
10,6,1,4,5,47,5
4,1,0,0,0,14,3
5,2,0,5,2,55,0
9,4,0,0,0,14,3
3,1,0,3,0,40,1
5,7,1,2,4,58,5
6,6,6,2,2,37,5
1,1,2,3,2,30,5
14,10,3,0,2,41,3
15,23,3,1,6,49,5
5,5,1,4,3,63,5
2,0,0,2,2,24,0
22,283,9,53,137,1141,5
5,6,1,3,2,81,5
1,4,1,3,1,17,5
3,2,1,1,0,45,1
6,2,0,3,1,10,0
21,84,4,4,8,70,5
12,15,1,1,2,42,5
1,1,1,0,0,3,3
3,1,0,2,0,29,1
8,7,0,1,0,32,1
4,14,0,4,6,51,0
6,246,3,5,29,239,5
2,6,1,2,2,46,5
5,4,1,3,1,59,5
4,6,0,3,2,48,0
11,10,6,7,7,87,5
4,0,0,2,1,21,0
4,140,1,1,7,40,5
8,7,0,14,4,93,0
7,11,0,1,2,60,0
8,2,1,2,5,48,5
0,2,0,0,0,3,1
6,41,3,3,3,81,5
5,8,1,3,1,49,5
5,333,3,3,30,190,5
4,4,0,1,0,27,1
3,2,2,1,1,12,5
3,5,0,1,1,14,0
24,136,7,2,8,110,5
21,74,7,4,12,192,5
8,11,2,1,1,74,5
2,1,0,0,0,14,3
1,2,0,0,0,34,3
19,223,7,48,124,1041,5
1,0,0,1,0,15,0
1,0,0,0,0,30,3
2,3,2,0,0,32,3
4,13,0,1,4,49,0
6,16,2,0,7,117,3
2,3,1,2,2,73,5
0,10,2,2,5,56,5
13,41,4,4,3,137,5
2,6,4,1,2,81,5
1,0,1,1,0,15,5
10,2,0,1,0,39,1
5,0,1,1,0,12,5
14,12,0,5,5,81,0
5,393,0,1,17,14,0
3,8,1,1,0,50,1
3,2,0,0,0,23,3
6,10,1,1,0,24,1
2,17,4,3,7,144,5
11,7,1,2,3,61,5
17,40,1,4,22,228,5
7,18,2,0,6,36,3
0,0,0,0,0,1,2
7,6,1,3,1,32,5
6,5,0,0,2,11,3
7,21,1,4,4,91,5
7,15,1,2,1,60,5
9,17,0,3,2,178,0
2,3,0,1,0,16,1
2,3,2,5,7,60,5
10,24,3,2,9,156,5
16,70,7,6,9,147,5
11,16,6,1,2,72,5
1,0,0,0,0,0,3
4,20,1,2,6,42,5
8,185,2,0,17,101,3
4,3,0,2,3,22,0
8,5,0,1,1,31,0
15,62,6,11,29,540,5
3,15,5,0,10,82,3
9,2,0,3,0,38,1
7,13,3,6,5,54,5
16,270,5,13,52,594,5
9,8,2,5,4,68,5
0,1,0,0,0,1,1
10,138,3,2,15,253,5
5,7,1,3,0,47,1
11,30,6,8,13,136,5
3,2,0,1,0,23,1
3,0,0,0,0,8,3
3,329,3,2,29,178,5
8,22,2,2,3,95,5
7,13,2,4,2,54,5
4,1,0,1,0,8,1
8,2,0,4,1,81,0
9,107,2,4,11,162,5
4,9,2,4,2,37,5
23,55,1,6,28,969,5
4,9,3,2,2,69,5
0,2,0,3,1,34,0
2,5,0,3,8,131,0
34,390,9,42,85,783,5
8,7,2,7,4,100,5
6,2,0,0,1,14,3
4,4,0,3,4,49,0
9,409,1,2,24,222,5
5,326,3,3,30,198,5
10,13,1,4,6,51,5
5,4,2,1,1,14,5
0,5,0,0,0,33,1
12,20,2,6,5,73,5
3,10,1,1,2,33,5
3,3,1,1,2,27,5
7,7,5,5,1,42,5
14,5,2,3,2,37,5
13,41,4,4,4,143,5
45,15,2,4,4,33,5
29,334,10,52,115,944,5
1,3,2,0,1,26,3
3,14,2,2,5,77,5
8,12,1,2,6,64,5
13,8,0,7,4,75,0
2,1,0,0,0,21,3
2,1,1,2,0,62,1
10,10,5,1,3,37,5
3,14,2,1,4,70,5
40,1,3,1,0,7,1
3,1,1,1,1,16,5
2,4,1,0,2,25,3
8,2,3,3,3,38,5
9,170,1,6,25,146,5
4,10,0,1,7,42,0
10,8,8,1,0,16,1
6,4,0,2,2,35,0
14,13,2,0,1,38,3
4,16,5,0,10,73,3
18,75,8,4,13,151,5
0,1,0,0,0,7,1
10,1,2,1,1,13,5
0,4,2,2,2,116,5
6,11,4,4,2,32,5
11,11,0,3,7,75,0
7,5,1,4,1,77,5
4,10,0,1,5,44,0
11,9,4,4,2,40,5
2,144,1,1,26,60,5
0,2,1,0,0,20,1
5,5,2,2,4,35,5
6,34,2,6,14,367,5
6,4,2,6,0,48,1
1,1,1,0,0,27,3
9,1,0,2,0,71,1
5,12,3,3,4,61,5
5,2,1,4,2,42,5
8,22,1,0,3,30,3
29,352,11,50,118,942,5
9,8,0,2,0,29,1
4,9,4,2,3,88,5
9,411,1,3,24,225,5
1,0,2,3,0,23,5
9,13,2,1,4,35,5
